"lon","lat"
29.3437,-1.06683
29.7929,-1.06683
30.2421,-1.06683
30.6914,-1.06683
31.1406,-1.06683
31.5898,-1.06683
32.0391,-1.06683
32.4883,-1.06683
32.9375,-1.06683
33.3868,-1.06683
33.836,-1.06683
34.2852,-1.06683
34.7345,-1.06683
35.1837,-1.06683
35.6329,-1.06683
36.0822,-1.06683
36.5314,-1.06683
36.9807,-1.06683
37.4299,-1.06683
37.8791,-1.06683
38.3284,-1.06683
38.7776,-1.06683
39.2268,-1.06683
39.6761,-1.06683
40.1253,-1.06683
40.5745,-1.06683
41.0238,-1.06683
41.473,-1.06683
41.9222,-1.06683
100.7721,-1.06683
101.2213,-1.06683
101.6705,-1.06683
102.1198,-1.06683
102.569,-1.06683
103.0182,-1.06683
103.4675,-1.06683
103.9167,-1.06683
104.3659,-1.06683
109.7568,-1.06683
110.206,-1.06683
110.6552,-1.06683
111.1045,-1.06683
111.5537,-1.06683
112.0029,-1.06683
112.4522,-1.06683
112.9014,-1.06683
113.3507,-1.06683
113.7999,-1.06683
114.2491,-1.06683
114.6984,-1.06683
115.1476,-1.06683
115.5968,-1.06683
116.0461,-1.06683
116.4953,-1.06683
116.9445,-1.06683
119.6399,-1.06683
120.0892,-1.06683
120.5384,-1.06683
121.4369,-1.06683
121.8861,-1.06683
122.3354,-1.06683
130.8708,-1.06683
131.3201,-1.06683
131.7693,-1.06683
132.2185,-1.06683
132.6678,-1.06683
133.117,-1.06683
133.5662,-1.06683
134.0155,-1.06683
134.9139,-1.06683
136.2617,-1.06683
-91.06166,-0.61767
-80.2813,-0.61767
-79.8321,-0.61767
-79.3829,-0.61767
-78.9337,-0.61767
-78.4845,-0.61767
-78.0353,-0.61767
-77.5862,-0.61767
-77.137,-0.61767
-76.6878,-0.61767
-76.2386,-0.61767
-75.7894,-0.61767
-75.3402,-0.61767
-74.8911,-0.61767
-74.4419,-0.61767
-73.9927,-0.61767
-73.5435,-0.61767
-73.0943,-0.61767
-72.6451,-0.61767
-72.196,-0.61767
-71.7468,-0.61767
-71.2976,-0.61767
-70.8484,-0.61767
-70.3992,-0.61767
-69.95,-0.61767
-69.5009,-0.61767
-69.0517,-0.61767
-68.6025,-0.61767
-68.1533,-0.61767
-67.7041,-0.61767
-67.2549,-0.61767
-66.8057,-0.61767
-66.3566,-0.61767
-65.9074,-0.61767
-65.4582,-0.61767
-65.009,-0.61767
-64.5598,-0.61767
-64.1106,-0.61767
-63.6615,-0.61767
-63.2123,-0.61767
-62.7631,-0.61767
-62.3139,-0.61767
-61.8647,-0.61767
-61.4155,-0.61767
-60.9664,-0.61767
-60.5172,-0.61767
-60.068,-0.61767
-59.6188,-0.61767
-59.1696,-0.61767
-58.7204,-0.61767
-58.2713,-0.61767
-57.8221,-0.61767
-57.3729,-0.61767
-56.9237,-0.61767
-56.4745,-0.61767
-56.0253,-0.61767
-55.5762,-0.61767
-55.127,-0.61767
-54.6778,-0.61767
-54.2286,-0.61767
-53.7794,-0.61767
-53.3302,-0.61767
-52.8811,-0.61767
-52.4319,-0.61767
-51.9827,-0.61767
-51.5335,-0.61767
-51.0843,-0.61767
-50.6351,-0.61767
-50.186,-0.61767
-49.7368,-0.61767
-49.2876,-0.61767
-48.8384,-0.61767
9.5555,-0.61767
10.0046,-0.61767
10.4538,-0.61767
10.903,-0.61767
11.3522,-0.61767
11.8014,-0.61767
12.2506,-0.61767
12.6997,-0.61767
13.1489,-0.61767
13.5981,-0.61767
14.0473,-0.61767
14.4965,-0.61767
14.9457,-0.61767
15.3948,-0.61767
15.844,-0.61767
16.2932,-0.61767
16.7424,-0.61767
17.1916,-0.61767
17.6408,-0.61767
18.0899,-0.61767
18.5391,-0.61767
18.9883,-0.61767
19.4375,-0.61767
19.8867,-0.61767
20.3359,-0.61767
20.785,-0.61767
21.2342,-0.61767
21.6834,-0.61767
22.1326,-0.61767
22.5818,-0.61767
23.031,-0.61767
23.4801,-0.61767
23.9293,-0.61767
24.3785,-0.61767
24.8277,-0.61767
25.2769,-0.61767
25.7261,-0.61767
26.1752,-0.61767
26.6244,-0.61767
27.0736,-0.61767
27.5228,-0.61767
27.972,-0.61767
28.4212,-0.61767
28.8703,-0.61767
29.3195,-0.61767
29.7687,-0.61767
30.2179,-0.61767
30.6671,-0.61767
31.1163,-0.61767
31.5654,-0.61767
32.0146,-0.61767
32.4638,-0.61767
32.913,-0.61767
33.3622,-0.61767
33.8114,-0.61767
34.2605,-0.61767
34.7097,-0.61767
35.1589,-0.61767
35.6081,-0.61767
36.0573,-0.61767
36.5065,-0.61767
36.9556,-0.61767
37.4048,-0.61767
37.854,-0.61767
38.3032,-0.61767
38.7524,-0.61767
39.2016,-0.61767
39.6507,-0.61767
40.0999,-0.61767
40.5491,-0.61767
40.9983,-0.61767
41.4475,-0.61767
41.8967,-0.61767
98.4938,-0.61767
100.2905,-0.61767
100.7397,-0.61767
101.1889,-0.61767
101.6381,-0.61767
102.0873,-0.61767
102.5364,-0.61767
102.9856,-0.61767
109.7234,-0.61767
110.1726,-0.61767
110.6217,-0.61767
111.0709,-0.61767
111.5201,-0.61767
111.9693,-0.61767
112.4185,-0.61767
112.8677,-0.61767
113.3168,-0.61767
113.766,-0.61767
114.2152,-0.61767
114.6644,-0.61767
115.1136,-0.61767
115.5628,-0.61767
116.0119,-0.61767
116.4611,-0.61767
116.9103,-0.61767
117.3595,-0.61767
120.0546,-0.61767
123.1989,-0.61767
127.2415,-0.61767
128.1399,-0.61767
132.1826,-0.61767
132.6317,-0.61767
133.0809,-0.61767
174.4058,-0.61767
-80.2866,-0.16851
-79.8375,-0.16851
-79.3883,-0.16851
-78.9391,-0.16851
-78.49,-0.16851
-78.0408,-0.16851
-77.5917,-0.16851
-77.1425,-0.16851
-76.6933,-0.16851
-76.2442,-0.16851
-75.795,-0.16851
-75.3459,-0.16851
-74.8967,-0.16851
-74.4475,-0.16851
-73.9984,-0.16851
-73.5492,-0.16851
-73.1001,-0.16851
-72.6509,-0.16851
-72.2018,-0.16851
